FIPS,County,State,Civilian NonInst Pop,Percent Any Difficulty,Percent TwoTypes,Percent Hearing difficulty, Percent Vision difficulty,Percent Cognitive difficulty,Percent Ambulatory difficulty, Percent Selfcare difficulty,Percent Independent living difficulty,R_Hearing Difficulty,R_Vision difficulty,R_Cognitive difficulty,R_Ambulatory difficulty,R_Selfcare difficulty,R_Independent living difficulty,R_Overall disability
1001,Autauga County, Alabama,54552,19.00,9.23,4.65,2.38,8.05,10.16,3.91,6.95,0.45,0.38,0.88,0.75,0.83,0.83,0.77
1003,Baldwin County, Alabama,210305,14.23,6.60,4.53,2.15,4.48,7.50,2.18,4.58,0.41,0.29,0.29,0.43,0.27,0.40,0.38
1005,Barbour County, Alabama,22475,21.38,10.19,5.54,5.45,8.88,11.12,4.57,7.26,0.65,0.93,0.93,0.83,0.91,0.86,0.88
1007,Bibb County, Alabama,20632,17.25,8.60,3.85,2.56,5.56,10.17,3.37,7.21,0.25,0.45,0.54,0.75,0.71,0.85,0.66
1009,Blount County, Alabama,57217,14.06,7.49,4.34,1.96,5.51,8.29,2.29,5.22,0.37,0.22,0.52,0.54,0.32,0.54,0.36
1011,Bullock County, Alabama,9865,11.96,6.06,2.48,2.31,4.77,6.34,1.69,4.16,0.04,0.35,0.35,0.25,0.12,0.29,0.18
1013,Butler County, Alabama,19538,16.47,8.52,3.91,3.81,5.59,10.09,3.48,5.50,0.26,0.78,0.54,0.75,0.74,0.60,0.59
1015,Calhoun County, Alabama,112854,21.22,10.44,5.95,3.84,8.48,12.63,4.24,7.50,0.72,0.78,0.91,0.91,0.88,0.88,0.88
1017,Chambers County, Alabama,33252,18.12,9.24,4.80,4.56,5.80,11.17,3.26,5.54,0.48,0.87,0.58,0.84,0.67,0.61,0.72
1019,Cherokee County, Alabama,25636,17.85,8.84,4.56,3.12,6.55,10.29,3.95,7.29,0.42,0.62,0.71,0.76,0.84,0.86,0.70
1021,Chilton County, Alabama,43726,19.42,9.92,4.93,3.64,7.47,11.09,4.01,7.70,0.52,0.74,0.83,0.83,0.85,0.90,0.79
1023,Choctaw County, Alabama,12796,26.72,15.26,6.10,6.78,9.56,17.90,5.54,9.85,0.74,0.97,0.96,0.99,0.97,0.98,0.98
1025,Clarke County, Alabama,23826,18.21,9.07,4.51,3.87,7.09,9.63,4.87,7.74,0.41,0.79,0.79,0.70,0.94,0.90,0.73
1027,Clay County, Alabama,13091,17.45,10.22,6.80,4.58,5.64,12.34,3.78,5.19,0.84,0.87,0.55,0.90,0.80,0.54,0.67
1029,Cleburne County, Alabama,14736,21.88,10.22,7.21,4.10,8.67,11.37,3.44,6.62,0.88,0.82,0.92,0.85,0.73,0.78,0.90
1031,Coffee County, Alabama,50029,17.82,8.62,5.41,3.25,6.82,9.29,3.44,5.75,0.63,0.66,0.76,0.66,0.73,0.64,0.70
1033,Colbert County, Alabama,54306,18.46,9.74,4.59,3.34,7.09,11.13,4.41,7.56,0.43,0.68,0.79,0.84,0.90,0.89,0.74
1035,Conecuh County, Alabama,12349,22.41,11.43,4.91,4.67,7.39,16.40,4.07,6.96,0.51,0.88,0.83,0.99,0.85,0.83,0.91
1037,Coosa County, Alabama,10348,22.89,13.77,7.18,4.16,10.12,13.48,7.19,10.49,0.87,0.82,0.97,0.94,0.99,0.99,0.93
1039,Covington County, Alabama,36647,21.10,9.24,5.82,3.84,7.73,12.25,3.73,6.09,0.70,0.78,0.86,0.90,0.79,0.71,0.87
1041,Crenshaw County, Alabama,13611,20.52,11.51,4.47,4.57,8.63,13.04,3.98,7.10,0.40,0.87,0.92,0.93,0.84,0.84,0.85
1043,Cullman County, Alabama,81979,17.71,8.79,4.99,3.09,6.80,10.28,3.65,6.44,0.53,0.61,0.75,0.76,0.78,0.76,0.69
1045,Dale County, Alabama,46283,21.19,10.19,5.94,4.88,7.95,11.66,3.65,6.73,0.72,0.90,0.88,0.87,0.78,0.79,0.87
1047,Dallas County, Alabama,38879,17.57,9.54,3.79,2.91,6.77,11.23,3.56,7.29,0.23,0.55,0.75,0.84,0.76,0.86,0.68
1049,DeKalb County, Alabama,70519,13.47,7.70,3.53,2.52,5.29,7.96,3.27,6.33,0.17,0.43,0.48,0.49,0.67,0.74,0.30
1051,Elmore County, Alabama,76190,17.09,8.81,4.88,3.38,6.58,9.73,2.57,6.08,0.50,0.69,0.72,0.71,0.43,0.70,0.64
1053,Escambia County, Alabama,34190,17.97,7.43,4.81,2.81,5.18,10.99,2.42,5.25,0.49,0.53,0.45,0.83,0.37,0.55,0.71
1055,Etowah County, Alabama,101958,18.44,9.26,4.65,3.26,7.19,10.69,3.93,6.81,0.45,0.66,0.80,0.80,0.83,0.81,0.74
1057,Fayette County, Alabama,16299,26.13,13.22,8.52,5.87,9.80,14.46,3.53,7.66,0.95,0.95,0.96,0.97,0.75,0.89,0.98
1059,Franklin County, Alabama,31264,15.05,8.33,4.39,3.78,5.86,8.66,3.01,6.41,0.38,0.77,0.60,0.59,0.60,0.75,0.46
1061,Geneva County, Alabama,26143,23.59,12.70,7.48,6.90,8.58,13.95,5.11,9.39,0.90,0.97,0.91,0.96,0.95,0.97,0.94
1063,Greene County, Alabama,8269,24.66,13.02,5.12,4.46,9.46,16.05,6.17,11.04,0.56,0.86,0.95,0.99,0.99,0.99,0.96
1065,Hale County, Alabama,14582,21.16,10.57,4.41,3.62,6.93,10.92,3.56,8.71,0.38,0.74,0.77,0.82,0.75,0.95,0.87
1067,Henry County, Alabama,16813,19.07,10.36,5.55,4.59,7.02,10.22,4.45,7.86,0.65,0.87,0.78,0.76,0.90,0.91,0.78
1069,Houston County, Alabama,103775,17.18,8.69,4.33,2.99,6.77,9.56,3.37,5.99,0.36,0.58,0.75,0.70,0.71,0.69,0.65
1071,Jackson County, Alabama,51352,19.30,10.86,4.93,3.20,7.91,11.47,4.69,9.08,0.51,0.65,0.87,0.86,0.92,0.96,0.79
1073,Jefferson County, Alabama,652887,15.43,7.73,3.67,3.22,5.85,8.69,3.21,5.41,0.21,0.65,0.59,0.59,0.66,0.58,0.50
1075,Lamar County, Alabama,13720,22.87,11.14,6.56,4.91,9.32,12.76,2.95,8.10,0.81,0.90,0.95,0.92,0.58,0.92,0.93
1077,Lauderdale County, Alabama,91654,14.75,7.53,4.42,2.15,4.99,8.13,3.31,5.91,0.39,0.29,0.41,0.52,0.69,0.67,0.43
1079,Lawrence County, Alabama,32793,21.26,12.01,5.84,4.45,6.76,13.13,5.72,9.36,0.70,0.86,0.75,0.93,0.98,0.97,0.88
1081,Lee County, Alabama,159913,12.97,5.84,3.58,2.22,4.93,6.85,2.58,4.27,0.19,0.32,0.39,0.33,0.43,0.31,0.26
1083,Limestone County, Alabama,91733,15.72,7.10,4.72,2.84,4.96,8.65,2.73,4.99,0.46,0.53,0.40,0.59,0.50,0.49,0.53
1085,Lowndes County, Alabama,9977,26.82,14.02,5.53,4.59,10.65,18.29,5.78,9.52,0.65,0.87,0.98,0.99,0.98,0.97,0.98
1087,Macon County, Alabama,18449,18.24,9.58,3.00,2.88,7.18,11.07,3.73,7.68,0.09,0.55,0.80,0.83,0.80,0.89,0.73
1089,Madison County, Alabama,356952,13.21,5.88,3.54,2.27,5.19,6.79,2.30,4.24,0.18,0.33,0.45,0.32,0.32,0.31,0.28
1091,Marengo County, Alabama,19098,25.34,12.73,5.66,4.77,8.74,14.25,3.51,8.92,0.67,0.89,0.93,0.96,0.74,0.96,0.97
1093,Marion County, Alabama,29400,26.09,13.08,6.98,5.09,10.37,15.09,3.73,9.63,0.86,0.91,0.97,0.98,0.79,0.97,0.98
1095,Marshall County, Alabama,94805,14.72,7.69,4.02,2.35,4.67,8.97,3.42,5.96,0.28,0.36,0.33,0.62,0.72,0.68,0.43
1097,Mobile County, Alabama,408589,14.14,7.34,3.72,2.72,5.25,8.12,2.89,5.51,0.22,0.50,0.47,0.52,0.56,0.60,0.37
